   57																																																									
AVSA1    	0.00000	0.07619	0.07922	0.12064	0.11052	0.12075	0.15725	0.17541	0.18186	0.13637	0.14460	0.14396	0.12184	0.11279	0.12366	0.13157	0.13515	0.13259	0.29691	1.32349	1.30129	0.11904	0.11939	0.11368	0.14554	0.15019	0.13886	0.15434	0.17587	0.15403	0.10630	0.10814	0.13594	0.11029	0.10582	0.12541	0.12802	0.12190	0.14105	0.13952	0.13202	0.11801	0.09013	0.13963	0.10589	0.10404	0.11571	0.12835	0.08422	0.12841	0.10074	0.10063	0.16773	0.14178	0.17202	0.16431	0.14084
AVSA2    	0.07619	0.00000	0.06481	0.11283	0.10524	0.10934	0.17209	0.18600	0.19114	0.13145	0.13334	0.14110	0.10573	0.10004	0.11316	0.12529	0.12994	0.12585	0.30420	1.32788	1.30830	0.11658	0.11495	0.11219	0.14976	0.15606	0.14836	0.17087	0.19537	0.17273	0.10345	0.10372	0.13093	0.11346	0.10911	0.15538	0.15426	0.14497	0.13515	0.13810	0.12917	0.11924	0.09793	0.14682	0.09645	0.09820	0.10910	0.15982	0.10614	0.15610	0.11286	0.11645	0.18498	0.15912	0.19162	0.16660	0.14761
AVSA3    	0.07922	0.06481	0.00000	0.11696	0.10909	0.11167	0.15855	0.17258	0.18040	0.13353	0.13963	0.14175	0.11532	0.10522	0.11877	0.12604	0.13106	0.12596	0.29534	1.29888	1.29017	0.11576	0.11512	0.11515	0.14053	0.14203	0.13315	0.15761	0.17856	0.15613	0.10570	0.09829	0.12372	0.10984	0.10909	0.14233	0.14129	0.13100	0.13978	0.14024	0.13048	0.11898	0.09503	0.13614	0.10225	0.10577	0.11110	0.13923	0.10209	0.14673	0.09709	0.10486	0.16832	0.13621	0.16680	0.15320	0.12889
BBSA1    	0.12064	0.11283	0.11696	0.00000	0.05317	0.05202	0.16820	0.18526	0.18629	0.12413	0.13251	0.13237	0.10504	0.09259	0.09402	0.12307	0.12860	0.12411	0.30229	1.34168	1.32751	0.09274	0.09273	0.09022	0.13906	0.14707	0.14247	0.16216	0.18122	0.16575	0.08134	0.06988	0.11985	0.07536	0.07343	0.17978	0.17868	0.17329	0.13152	0.13082	0.12422	0.09244	0.08224	0.12262	0.07562	0.08170	0.10124	0.17831	0.11075	0.17828	0.08257	0.09019	0.17904	0.15892	0.18697	0.15382	0.13213
BBSA2    	0.11052	0.10524	0.10909	0.05317	0.00000	0.05960	0.14666	0.16424	0.16789	0.12100	0.12727	0.12580	0.09506	0.08431	0.09131	0.11472	0.11895	0.11711	0.29934	1.33606	1.32939	0.08763	0.08762	0.08466	0.13411	0.13404	0.13187	0.14629	0.16816	0.15089	0.08299	0.07550	0.11927	0.07214	0.07604	0.17506	0.17463	0.16785	0.12424	0.12416	0.11559	0.08530	0.07825	0.12449	0.07222	0.06918	0.08281	0.17322	0.10418	0.17200	0.09144	0.09057	0.16790	0.14376	0.16821	0.15552	0.13117
BBSA3    	0.12075	0.10934	0.11167	0.05202	0.05960	0.00000	0.16203	0.17768	0.18286	0.11654	0.12381	0.12263	0.09573	0.08349	0.08747	0.11479	0.12013	0.11770	0.29682	1.34485	1.33271	0.09495	0.09467	0.09327	0.13451	0.14017	0.13163	0.16144	0.17845	0.15948	0.08496	0.07566	0.11912	0.08335	0.08125	0.17275	0.17188	0.16513	0.12451	0.12364	0.11463	0.09356	0.08096	0.12309	0.07852	0.07926	0.08962	0.17260	0.10677	0.17041	0.09116	0.09332	0.17033	0.14991	0.17505	0.14958	0.12575
EBSA1    	0.15725	0.17209	0.15855	0.16820	0.14666	0.16203	0.00000	0.03296	0.09333	0.19064	0.19705	0.19399	0.18756	0.17583	0.18881	0.18268	0.18908	0.18353	0.28929	1.32716	1.31873	0.17744	0.17736	0.17333	0.17644	0.16097	0.16186	0.09648	0.11017	0.08127	0.16231	0.15744	0.16615	0.15886	0.15753	0.15746	0.15698	0.15378	0.19381	0.19184	0.17836	0.16900	0.13868	0.17408	0.15949	0.14858	0.16669	0.15603	0.11820	0.15410	0.12225	0.13434	0.12231	0.10225	0.12992	0.18080	0.15634
EBSA2    	0.17541	0.18600	0.17258	0.18526	0.16424	0.17768	0.03296	0.00000	0.10248	0.20239	0.20816	0.20608	0.20248	0.19114	0.20595	0.19982	0.20323	0.19624	0.30372	1.33443	1.32567	0.19578	0.19349	0.19104	0.18903	0.17501	0.16723	0.10449	0.12615	0.09003	0.17156	0.17249	0.17767	0.17403	0.17142	0.17053	0.17199	0.16779	0.20434	0.20126	0.19099	0.19040	0.15125	0.18550	0.17536	0.16766	0.17704	0.16987	0.13179	0.16957	0.13553	0.14414	0.13732	0.10663	0.14218	0.19528	0.17250
EBSA3    	0.18186	0.19114	0.18040	0.18629	0.16789	0.18286	0.09333	0.10248	0.00000	0.20458	0.21308	0.20801	0.20712	0.19212	0.20517	0.20658	0.21114	0.20293	0.29829	1.31557	1.30759	0.19767	0.19362	0.19429	0.18533	0.17637	0.17385	0.11230	0.13482	0.09649	0.17486	0.16902	0.17421	0.17322	0.17597	0.16682	0.16617	0.16442	0.20839	0.20348	0.19343	0.19084	0.14373	0.18859	0.18124	0.16702	0.18471	0.16553	0.13018	0.16686	0.13790	0.14698	0.14306	0.11034	0.14677	0.19134	0.17074
GBSA1    	0.13637	0.13145	0.13353	0.12413	0.12100	0.11654	0.19064	0.20239	0.20458	0.00000	0.00877	0.01831	0.11637	0.10504	0.11427	0.04232	0.04462	0.04623	0.31433	1.32493	1.31536	0.12867	0.12694	0.12618	0.16600	0.16055	0.15543	0.18400	0.20219	0.18125	0.11359	0.11678	0.15260	0.12422	0.11496	0.16857	0.16786	0.16252	0.02403	0.02187	0.02052	0.13239	0.11065	0.15767	0.11757	0.11962	0.13232	0.16091	0.11456	0.16326	0.12719	0.13208	0.19132	0.17293	0.20399	0.17756	0.15080
GBSA2    	0.14460	0.13334	0.13963	0.13251	0.12727	0.12381	0.19705	0.20816	0.21308	0.00877	0.00000	0.01582	0.11893	0.11257	0.12189	0.04937	0.05083	0.05234	0.32016	1.32066	1.31003	0.13638	0.13746	0.13235	0.17075	0.16615	0.15934	0.18912	0.20880	0.18701	0.12020	0.12329	0.15429	0.13244	0.12137	0.17391	0.17477	0.16718	0.02107	0.02303	0.02198	0.14091	0.12243	0.16435	0.12524	0.12604	0.13741	0.16625	0.12155	0.16945	0.13800	0.13888	0.19832	0.17630	0.20834	0.18593	0.15796
GBSA3    	0.14396	0.14110	0.14175	0.13237	0.12580	0.12263	0.19399	0.20608	0.20801	0.01831	0.01582	0.00000	0.12451	0.11232	0.12295	0.04883	0.05121	0.05296	0.30829	1.32422	1.31508	0.13814	0.14016	0.13507	0.17172	0.16865	0.15873	0.18799	0.20717	0.18836	0.12607	0.12307	0.15898	0.12926	0.12313	0.17298	0.17345	0.16703	0.02097	0.01865	0.01855	0.14065	0.12229	0.16722	0.12399	0.12743	0.14313	0.16618	0.11958	0.16763	0.13139	0.13725	0.19779	0.17611	0.20625	0.18324	0.15656
